City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
519,fada,9.5667,8.3,22.08000000000004,78,100,1.01,NG,1682106949
520,manuguru,17.981,80.7547,29.230000000000018,60,1,2.66,IN,1682106949
521,kisangani,0.5167,25.2,21.840000000000032,97,100,1.07,CD,1682106950
522,eyl,7.9803,49.8164,28.28000000000003,73,86,6.02,SO,1682106950
523,massawa,15.6097,39.45,28.970000000000027,76,12,2.36,ER,1682106951
524,katsuura,35.1333,140.3,14.200000000000045,65,100,9.38,JP,1682106951
525,suva,-18.1416,178.4415,24.710000000000036,88,40,1.03,FJ,1682106952
526,santa maria del oro,25.9333,-105.3667,27.350000000000023,8,53,2.39,MX,1682106952
527,huesca,42.1362,-0.4087,16.379999999999995,63,0,7.72,ES,1682106953
528,saint-louis,16.3333,-15.0,32.80000000000001,18,100,7.77,SN,1682106953
529,touros,-5.1989,-35.4608,26.980000000000018,74,94,4.38,BR,1682106954
530,puerto ayacucho,5.6639,-67.6236,31.840000000000032,58,99,1.93,VE,1682106955
531,waingapu,-9.6567,120.2641,24.760000000000048,86,78,3.31,ID,1682106955
532,raymondville,26.4815,-97.7831,33.94,36,21,4.15,US,1682106956
533,xinzhou,38.4092,112.7333,2.0600000000000023,99,100,0.99,CN,1682106956
534,aykhal,66.0,111.5,-15.870000000000005,100,100,2.04,RU,1682106956
535,nadi,-17.8,177.4167,25.0,78,40,0.0,FJ,1682106957
536,darab,28.7519,54.5444,20.370000000000005,43,18,2.35,IR,1682106958
537,minas de marcona,-15.2119,-75.1103,20.640000000000043,66,25,6.27,PE,1682106958
538,bure,10.7,37.0667,21.180000000000007,17,78,4.48,ET,1682106958
539,huarmey,-10.0681,-78.1522,26.310000000000002,74,51,4.57,PE,1682106959
540,shingu,33.7333,135.9833,11.090000000000032,61,96,4.02,JP,1682106959
541,la carlota,10.4233,122.9208,26.260000000000048,82,51,1.21,PH,1682106960
542,sinop,41.7711,34.8709,7.25,94,100,0.72,TR,1682106961
543,baijiantan,45.6333,85.1833,9.82000000000005,31,99,3.35,CN,1682106962
544,tallulah,32.4085,-91.1868,23.03000000000003,68,100,5.08,US,1682106962
545,ahus,55.9167,14.2833,8.010000000000048,60,8,1.03,SE,1682106963
546,hafar al-batin,28.4328,45.9708,28.32000000000005,44,75,2.06,SA,1682106964
547,alaghsas,17.0187,8.0168,32.950000000000045,10,0,3.81,NE,1682106965
548,port-vila,-17.7338,168.3219,21.78000000000003,94,20,0.0,VU,1682106966
549,indramayu,-6.3264,108.32,26.439999999999998,83,83,3.02,ID,1682106967
550,wellington,-41.2866,174.7756,16.150000000000034,97,100,1.03,NZ,1682106967
